ACCIDENTDATE,snowing,raining,foggy,smoke,dust,strong_winds,wind_dir,wind_speed,temperature,SURFACE_COND
2006-04-30,0,1,0,0,0,0,SSW,12.0,56.0,2
2006-04-13,0,0,0,0,0,0,SSW,8.0,69.0,1
2006-04-25,0,0,0,0,0,0,SE,13.0,42.0,1
2006-04-07,0,1,0,0,0,0,W,14.0,56.0,2
2006-05-13,0,0,0,0,0,0,S,12.0,49.0,1
2006-04-29,0,0,0,0,0,0,SSW,8.0,59.0,1
2006-04-14,0,1,0,0,0,0,SW,9.0,50.0,2
2006-05-09,0,1,0,0,0,0,NNW,22.0,59.0,2
2006-04-26,0,0,0,0,0,0,E,5.0,70.0,1
2006-04-11,0,0,0,0,0,0,E,5.0,54.0,1
2006-05-11,0,0,0,0,0,0,S,7.0,44.0,1
2006-04-21,0,1,0,0,0,0,W,10.0,48.0,2
2006-04-18,0,1,0,0,0,0,N,12.0,58.0,2
2006-04-27,0,0,0,0,0,0,ENE,2.0,44.0,1
2006-05-01,0,1,0,0,0,0,SSE,8.0,58.0,2
2006-05-05,0,1,0,0,0,0,SSW,3.0,51.0,2
2006-05-10,0,0,0,0,0,0,W,5.0,49.0,2
2006-04-23,0,0,0,0,0,0,SW,8.0,56.0,1
2006-05-07,0,0,0,0,0,0,N,21.0,62.0,1
2006-04-28,0,0,0,0,0,0,N,12.0,73.0,1
2006-04-16,0,0,0,0,0,0,S,7.0,55.0,1
2006-04-12,0,0,0,0,0,0,WSW,10.0,65.0,1
2006-05-16,0,0,0,0,0,0,N,9.0,46.0,1
2006-05-03,0,0,0,0,0,0,WNW,10.0,55.0,2
2006-04-08,0,1,0,0,0,0,WSW,22.0,55.0,2
2006-04-06,0,0,0,0,0,0,W,28.0,61.0,1
2006-04-24,0,0,0,0,0,0,SSE,13.0,52.0,1
2006-05-04,0,0,0,0,0,0,N,12.0,52.0,1
2006-04-09,0,0,0,0,0,0,S,13.0,46.0,1
2006-05-06,0,0,0,0,0,0,N,14.0,60.0,1
2006-05-15,0,0,0,0,0,0,ESE,6.0,57.0,1
2006-04-20,0,0,0,0,0,0,NNW,8.0,44.0,1
2006-04-10,0,0,0,0,0,0,N,7.0,61.0,1
2006-04-22,0,1,0,0,0,0,NNW,7.0,54.0,2
2006-05-12,0,0,0,0,0,0,W,8.0,50.0,1
2006-05-08,0,0,0,0,0,0,W,13.0,54.0,1
2006-04-17,0,0,0,0,0,0,NNE,14.0,65.0,1
2006-05-14,0,0,0,0,0,0,S,17.0,51.0,1
2006-05-24,0,0,0,0,0,0,SSE,14.0,45.0,1
2006-06-05,0,0,0,0,0,0,SW,6.0,38.0,1
2006-05-31,0,0,0,0,0,0,E,5.0,33.0,1
2006-05-25,0,0,1,0,0,0,NE,3.0,37.0,1
2006-05-28,0,0,0,0,0,0,W,7.0,48.0,1
2006-05-21,0,0,0,0,0,0,NNW,7.0,41.0,1
2006-06-20,0,0,0,0,0,0,S,5.0,43.0,1
2006-06-09,0,0,0,0,0,0,ESE,6.0,54.0,1
2006-07-04,0,0,0,0,0,0,N,5.0,35.0,1
2006-05-26,0,0,0,0,0,0,W,1.0,56.0,1
2006-06-02,0,0,0,0,0,0,SSE,8.0,56.0,1
2006-05-17,0,0,0,0,0,0,WNW,3.0,54.0,1
2006-06-01,0,0,0,0,0,0,SSE,3.0,50.0,1
2006-06-12,0,1,0,0,0,0,W,10.0,43.0,2
2006-06-22,0,0,0,0,0,0,NNW,2.0,46.0,1
2006-05-30,0,0,0,0,0,0,NNE,6.0,51.0,1
2006-06-08,0,0,0,0,0,0,SSE,7.0,55.0,1
2006-06-11,0,0,0,0,0,0,S,18.0,48.0,1
2006-06-25,0,0,0,0,0,0,N,6.0,47.0,1
2006-05-29,0,0,0,0,0,0,SSW,10.0,52.0,2
2006-07-01,0,0,0,0,0,0,NNW,16.0,50.0,1
2006-06-26,0,0,0,0,0,0,NNE,8.0,44.0,1
2006-06-27,0,0,0,0,0,0,N,7.0,49.0,1
