Route_No,SPEED_ZONE,Light_Condition,ROAD_TYPE,DIRECTION_LOCATION,NODE_TYPE,Deg_Urban_Name
194105,50,1,ROAD,E,N,LARGE_PROVINCIAL_CITIES
157679,50,3,DRIVE,S,N,LARGE_PROVINCIAL_CITIES
213751,60,1,GROVE,N,N,MELB_URBAN
108710,999,1,ROAD,S,N,RURAL_VICTORIA
145452,100,1,LANE,N,N,RURAL_VICTORIA
126988,50,5,STREET,NE,N,MELB_URBAN
210530,50,1,STREET,S,N,MELB_URBAN
229464,100,1,ROAD,E,N,RURAL_VICTORIA
158508,100,1,ROAD,E,N,RURAL_VICTORIA
100287,80,1,ROAD,SE,N,RURAL_VICTORIA
198314,999,1,ROAD,E,N,TOWNS
183390,40,1,CLOSE,E,N,MELB_URBAN
179633,50,1,STREET,S,N,MELB_URBAN
142944,50,1,ROAD,SW,N,LARGE_PROVINCIAL_CITIES
273313,50,1,STREET,W,N,TOWNS
115707,60,1,STREET,N,N,SMALL_CITIES
232567,60,1,WAY,S,N,MELB_URBAN
232052,60,1,ROAD,N,N,RURAL_VICTORIA
281104,50,3,AVENUE,W,N,MELB_URBAN
174993,50,1,DRIVE,N,N,MELB_URBAN
193047,60,1,ROAD,N,N,MELB_URBAN
107327,999,1,ROAD,W,N,MELB_URBAN
158913,40,1,CRESCENT,SE,N,MELB_URBAN
204499,100,5,TRACK,E,N,RURAL_VICTORIA
145519,50,1,STREET,N,N,MELB_URBAN
236294,50,1,WAY,E,N,SMALL_CITIES
107990,50,3,STREET,S,N,MELB_URBAN
182741,100,1,ROAD,N,N,RURAL_VICTORIA
131390,50,2,DRIVE,E,N,SMALL_CITIES
283026,999,1,ROAD,N,N,RURAL_VICTORIA
108152,50,1,AVENUE,NW,N,MELB_URBAN
159144,100,1,ROAD,NE,N,RURAL_VICTORIA
135786,50,1,ROAD,S,N,MELB_URBAN
111011,50,3,DRIVE,NW,N,LARGE_PROVINCIAL_CITIES
103958,50,1,WAY,S,N,TOWNS
129753,40,1,STREET,E,N,MELB_URBAN
230737,100,1,ROAD,SW,N,RURAL_VICTORIA
179219,100,1,ROAD,S,N,RURAL_VICTORIA
170815,100,1,ROAD,S,N,RURAL_VICTORIA
171784,888,1,VIEW,S,N,MELB_URBAN
202999,50,1,AVENUE,W,N,MELB_URBAN
156171,60,1,ROAD,SE,N,RURAL_VICTORIA
112066,100,5,ROAD,SE,N,RURAL_VICTORIA
115216,50,1,BOULEVARD,N,N,SMALL_CITIES
192694,50,3,STREET,W,N,MELB_URBAN
186401,50,1,STREET,E,N,MELB_URBAN
230197,50,3,AVENUE,N,N,MELB_URBAN
232986,50,1,UNKNOWN,S,N,MELB_URBAN
235121,100,1,ROAD,S,N,RURAL_VICTORIA
103440,50,1,ROAD,NE,N,MELB_URBAN
213227,50,1,STREET,NW,N,TOWNS
182766,80,5,ROAD,SW,N,RURAL_VICTORIA
192881,50,1,STREET,S,N,MELB_URBAN
159155,50,1,STREET,NW,N,MELB_URBAN
211227,50,2,ROAD,SE,N,MELB_URBAN
235464,100,1,ROAD,SW,N,RURAL_VICTORIA
231199,999,1,CRESCENT,W,N,TOWNS
131942,50,1,ROAD,S,N,MELB_URBAN
110776,60,1,ROAD,SE,N,MELB_URBAN
115633,60,1,ROAD,SE,N,RURAL_VICTORIA
161569,50,1,AVENUE,SW,N,MELB_URBAN
148406,50,1,DRIVE,N,N,MELB_URBAN
197826,50,1,ROAD,S,N,MELB_URBAN
228398,100,1,ROAD,W,N,RURAL_VICTORIA
117780,50,1,STREET,E,N,MELB_URBAN
234667,50,1,AVENUE,E,N,MELB_URBAN
103829,999,1,ROAD,S,N,RURAL_VICTORIA
114353,100,1,ROAD,S,N,RURAL_VICTORIA
152332,50,1,DRIVE,W,N,MELB_URBAN
149864,999,1,STREET,N,N,MELB_URBAN
113538,60,1,STREET,NE,N,TOWNS
219775,50,1,STREET,SE,N,MELB_URBAN
220795,50,1,WAY,SE,N,MELB_URBAN
282287,50,3,AVENUE,NW,N,MELB_URBAN
200425,100,2,ROAD,SE,N,RURAL_VICTORIA
200349,100,1,ROAD,NW,N,RURAL_VICTORIA
141034,50,1,AVENUE,SW,N,MELB_URBAN
165332,60,1,AVENUE,W,N,TOWNS
212095,100,6,ROAD,SW,N,RURAL_VICTORIA
218895,50,2,ROAD,S,N,MELB_URBAN
167926,100,2,ROAD,SW,N,RURAL_VICTORIA
177285,50,1,PLACE,E,N,MELB_URBAN
166352,50,1,COURT,SW,N,MELB_URBAN
166586,100,5,ROAD,SW,N,RURAL_VICTORIA
132290,50,3,CRESCENT,S,N,MELB_URBAN
190281,999,1,ROAD,NW,N,RURAL_VICTORIA
129235,100,1,ROAD,NE,N,RURAL_VICTORIA
207440,60,1,ROAD,W,N,RURAL_VICTORIA
164544,50,1,STREET,E,N,TOWNS
204137,100,1,ROAD,N,N,RURAL_VICTORIA
194014,999,1,ROAD,S,N,RURAL_VICTORIA
212294,50,3,STREET,W,N,MELB_URBAN
207121,100,1,ROAD,SE,N,RURAL_VICTORIA
107981,50,1,AVENUE,E,N,SMALL_CITIES
275576,999,1,CRESCENT,SE,N,MELB_URBAN
106127,999,9,STREET,N,N,MELB_URBAN
200949,50,6,STREET,N,N,MELB_URBAN
215864,50,1,STREET,N,N,MELB_URBAN
127364,60,1,STREET,NW,N,LARGE_PROVINCIAL_CITIES
138610,50,1,PLACE,W,N,SMALL_CITIES
182420,50,3,STREET,NE,N,LARGE_PROVINCIAL_CITIES
126504,60,1,STREET,S,N,TOWNS
3000,999,1,ROAD,SE,N,RURAL_VICTORIA
190849,40,3,CRESCENT,S,N,MELB_URBAN
139095,50,1,ROAD,W,N,MELB_URBAN
195389,100,5,LANE,NE,N,RURAL_VICTORIA
164880,100,2,ROAD,NW,N,RURAL_VICTORIA
156745,100,1,ROAD,W,N,RURAL_VICTORIA
177857,50,1,DRIVE,E,N,SMALL_CITIES
194936,50,1,STREET,E,N,TOWNS
277339,100,1,ROAD,W,N,SMALL_CITIES
197470,100,1,ROAD,SW,N,RURAL_VICTORIA
135884,100,1,ROAD,W,N,RURAL_VICTORIA
163363,100,1,ROAD,W,N,RURAL_VICTORIA
280759,100,5,ROAD,NW,N,RURAL_VICTORIA
195692,80,5,ROAD,NE,N,RURAL_VICTORIA
146388,60,1,STREET,S,N,TOWNS
256812,80,1,UNKNOWN,N,N,RURAL_VICTORIA
200051,100,1,HIGHWAY,W,N,SMALL_TOWNS
231131,40,2,STREET,E,N,MELB_URBAN
235840,50,5,STREET,E,N,LARGE_PROVINCIAL_CITIES
216927,50,3,STREET,N,N,SMALL_CITIES
101039,999,1,AVENUE,E,N,MELB_URBAN
125973,50,1,STREET,SW,N,SMALL_CITIES
224681,50,3,AVENUE,SW,N,SMALL_CITIES
117871,60,1,COURT,N,I,LARGE_PROVINCIAL_CITIES
217381,888,1,WAY,SE,N,SMALL_TOWNS
173452,100,2,ROAD,NW,N,RURAL_VICTORIA
158935,50,1,STREET,S,N,LARGE_PROVINCIAL_CITIES
132456,80,1,ROAD,NW,I,TOWNS
155307,80,1,ROAD,NW,I,TOWNS
118895,70,3,ROAD,S,I,MELB_URBAN
101399,60,1,ROAD,W,I,MELB_URBAN
137075,70,2,ROAD,S,I,MELB_URBAN
231780,60,1,COURT,E,I,MELB_URBAN
115389,60,3,ROAD,S,I,MELB_URBAN
180942,70,1,STREET,NW,I,MELB_URBAN
147251,70,3,STREET,N,I,MELB_URBAN
240043,50,1,ROAD,E,I,MELB_URBAN
141446,60,1,ROAD,NE,I,MELB_URBAN
215232,50,3,ROAD,NW,I,TOWNS
171315,100,1,ROAD,NE,I,RURAL_VICTORIA
150000,60,2,STREET,N,I,SMALL_CITIES
171285,100,1,HIGHWAY,NE,I,RURAL_VICTORIA
161316,60,1,HIGHWAY,SW,I,SMALL_TOWNS
199612,100,1,ROAD,NE,I,RURAL_VICTORIA
135302,60,1,STREET,W,I,SMALL_CITIES
103513,999,1,LANE,SE,N,RURAL_VICTORIA
151917,50,1,ROAD,E,N,MELB_URBAN
219147,100,1,ROAD,NE,N,RURAL_VICTORIA
140446,100,2,ROAD,E,I,RURAL_VICTORIA
173792,100,2,ROAD,E,I,RURAL_VICTORIA
278217,100,1,ROAD,SW,N,RURAL_VICTORIA
121579,999,5,ROAD,N,N,RURAL_VICTORIA
220744,100,1,ROAD,N,N,RURAL_VICTORIA
186409,100,1,ROAD,E,N,RURAL_VICTORIA
152654,40,1,STREET,N,N,MELB_URBAN
205784,100,1,ROAD,SW,N,RURAL_VICTORIA
186151,90,1,DRIVE,SE,I,RURAL_VICTORIA
193901,100,1,ROAD,S,N,RURAL_VICTORIA
120679,100,1,HIGHWAY,NW,N,RURAL_VICTORIA
127012,100,5,ROAD,E,N,RURAL_VICTORIA
227091,100,1,LANE,NW,N,RURAL_VICTORIA
156265,100,1,ROAD,S,N,RURAL_VICTORIA
107439,40,1,ROAD,E,N,TOWNS
198609,60,1,ROAD,E,I,MELB_URBAN
184726,50,1,STREET,W,I,MELB_URBAN
205151,60,1,STREET,W,I,MELB_URBAN
143702,60,1,ROAD,SW,I,MELB_URBAN
105915,80,1,HIGHWAY,W,I,MELB_URBAN
179589,60,1,STREET,W,I,MELB_URBAN
210747,60,1,ROAD,S,I,MELB_URBAN
5726,50,1,ROAD,W,I,MELB_URBAN
158535,50,1,ROAD,W,I,MELB_URBAN
169422,80,1,ROAD,NW,I,MELB_URBAN
141936,60,1,STREET,W,I,MELB_URBAN
160710,60,1,STREET,W,I,MELB_URBAN
123426,888,1,AVENUE,N,I,MELB_URBAN
113558,50,1,AVENUE,W,I,MELB_URBAN
131066,80,1,ROAD,NW,I,MELB_URBAN
233381,70,1,ROAD,S,I,MELB_URBAN
199718,70,3,ROAD,SW,I,MELB_URBAN
204705,50,1,STREET,S,I,MELB_URBAN
214580,50,1,STREET,E,I,MELB_URBAN
5147,60,1,PARADE,SW,I,MELB_URBAN
149949,50,2,BOULEVARD,N,I,MELB_URBAN
222781,50,1,STREET,E,I,MELB_URBAN
167411,50,1,STREET,S,I,MELB_URBAN
163448,70,1,ROAD,S,I,MELB_URBAN
233483,999,1,STREET,W,I,MELB_URBAN
232813,70,1,UNKNOWN,E,I,MELB_URBAN
105914,50,3,STREET,NW,I,MELB_URBAN
210531,50,1,STREET,N,I,MELB_URBAN
105391,40,1,STREET,E,I,MELB_URBAN
250687,40,1,STREET,E,I,MELB_URBAN
132973,40,1,ROAD,W,I,MELB_URBAN
122446,60,1,STREET,S,I,MELB_URBAN
132976,60,1,STREET,S,I,MELB_URBAN
170715,60,1,STREET,S,I,MELB_URBAN
118038,60,1,ROAD,S,I,MELB_URBAN
142579,60,3,STREET,W,I,MELB_URBAN
223717,50,1,ROAD,NW,I,MELB_URBAN
235034,60,1,ROAD,E,I,MELB_URBAN
221744,50,1,STREET,S,I,MELB_URBAN
136804,60,1,ROAD,W,I,MELB_URBAN
142559,50,1,ROAD,W,I,MELB_URBAN
164466,60,1,ROAD,W,I,MELB_URBAN
195801,60,1,ROAD,W,I,MELB_URBAN
167753,60,1,ROAD,W,I,MELB_URBAN
217207,60,1,ROAD,W,I,MELB_URBAN
113792,60,1,ROAD,S,I,MELB_URBAN
217351,60,1,STREET,S,I,MELB_URBAN
102149,60,1,STREET,S,I,MELB_URBAN
129211,60,1,STREET,S,I,MELB_URBAN
115598,40,1,STREET,W,I,MELB_URBAN
105031,50,1,ROAD,S,I,MELB_URBAN
103020,60,1,AVENUE,SW,I,MELB_URBAN
165720,70,1,ROAD,W,I,MELB_URBAN
102806,50,1,AVENUE,E,I,MELB_URBAN
275520,60,1,ROAD,E,I,MELB_URBAN
183508,50,1,ROAD,S,I,MELB_URBAN
139209,50,1,STREET,W,I,MELB_URBAN
122800,60,3,STREET,W,I,MELB_URBAN
185902,60,1,ROAD,S,I,MELB_URBAN
219742,60,3,HIGHWAY,W,I,MELB_URBAN
162849,60,1,ROAD,N,I,MELB_URBAN
182947,60,3,ROAD,W,I,MELB_URBAN
211454,70,3,ROAD,S,I,MELB_URBAN
203514,80,1,ROAD,N,I,MELB_URBAN
225383,80,1,ROAD,N,I,MELB_URBAN
155133,70,1,ROAD,NW,I,MELB_URBAN
170229,50,1,STREET,S,I,MELB_URBAN
220512,60,1,ESPLANADE,NW,I,MELB_URBAN
130999,60,1,STREET,N,I,MELB_URBAN
110398,60,1,STREET,S,I,MELB_URBAN
138524,60,1,STREET,S,I,MELB_URBAN
280387,60,1,ROAD,NW,I,MELB_URBAN
142851,50,1,ROAD,W,I,MELB_URBAN
135524,60,1,STREET,NW,I,MELB_URBAN
153861,60,1,STREET,NW,I,MELB_URBAN
126866,50,1,ROAD,N,I,MELB_URBAN
280549,50,1,ROAD,N,I,MELB_URBAN
200529,70,1,ROAD,N,I,MELB_URBAN
111462,60,1,ROAD,S,I,MELB_URBAN
222856,60,1,ROAD,S,I,MELB_URBAN
189596,50,3,DRIVE,SW,I,MELB_URBAN
151120,50,1,STREET,W,I,MELB_URBAN
274409,50,1,STREET,S,I,MELB_URBAN
200594,50,1,GROVE,W,I,MELB_URBAN
119811,60,3,CRESCENT,N,I,MELB_URBAN
117939,60,1,AVENUE,W,I,MELB_URBAN
149106,60,1,ROAD,W,I,MELB_URBAN
148576,60,1,ROAD,W,I,MELB_URBAN
112273,50,1,AVENUE,N,I,MELB_URBAN
199061,50,1,AVENUE,N,I,MELB_URBAN
234850,60,1,ROAD,W,I,MELB_URBAN
107806,50,1,AVENUE,W,I,MELB_URBAN
229009,70,1,ROAD,S,I,MELB_URBAN
169567,60,3,ROAD,N,I,MELB_URBAN
229926,60,3,ROAD,N,I,MELB_URBAN
136592,50,1,ROAD,NE,I,MELB_URBAN
112112,80,1,ROAD,W,I,RURAL_VICTORIA
184814,60,1,ROAD,W,I,MELB_URBAN
275206,60,1,ROAD,W,I,MELB_URBAN
127509,60,1,STREET,N,I,MELB_URBAN
202891,60,3,HIGHWAY,NW,I,MELB_URBAN
247409,60,3,HIGHWAY,NW,I,MELB_URBAN
171627,70,1,HIGHWAY,NW,I,MELB_URBAN
181192,70,3,STREET,E,I,MELB_URBAN
148426,70,2,CRESCENT,N,I,MELB_URBAN
140570,50,1,STREET,SW,I,MELB_URBAN
210653,50,1,STREET,SW,I,MELB_URBAN
101504,60,1,STREET,SE,I,SMALL_CITIES
124403,60,1,ROAD,SW,I,MELB_URBAN
152704,70,1,HIGHWAY,NW,I,MELB_URBAN
210304,60,1,ROAD,W,I,MELB_URBAN
110005,80,1,AVENUE,NE,I,MELB_URBAN
228077,80,1,AVENUE,NE,I,MELB_URBAN
173257,60,1,ROAD,W,I,MELB_URBAN
210474,60,1,ROAD,W,I,MELB_URBAN
128595,80,1,ROAD,N,I,MELB_URBAN
158640,80,1,ROAD,S,I,MELB_URBAN
120407,60,1,ROAD,E,I,MELB_URBAN
228384,60,6,STREET,W,I,MELB_URBAN
152403,60,1,ROAD,N,I,TOWNS
211065,60,1,ROAD,S,I,MELB_URBAN
136128,60,3,STREET,W,I,MELB_URBAN
274473,60,1,STREET,NE,I,SMALL_TOWNS
126491,60,1,STREET,W,I,MELB_URBAN
165965,70,1,ROAD,S,I,MELB_URBAN
116903,60,1,ROAD,SE,I,MELB_URBAN
233202,60,1,ROAD,SE,I,MELB_URBAN
183669,50,1,STREET,N,I,MELB_URBAN
207882,60,1,ROAD,SE,I,MELB_URBAN
179406,60,1,STREET,E,I,MELB_URBAN
279059,50,3,STREET,E,I,MELB_URBAN
160337,70,1,ROAD,N,I,MELB_URBAN
214091,80,1,ROAD,S,I,MELB_URBAN
217156,60,1,ROAD,N,I,MELB_URBAN
227203,999,1,HIGHWAY,NE,I,MELB_URBAN
136416,70,3,ROAD,W,I,MELB_URBAN
230101,60,1,ROAD,S,I,MELB_URBAN
125520,60,1,STREET,NW,I,MELB_URBAN
229815,50,3,AVENUE,S,I,MELB_URBAN
178253,80,1,ROAD,N,I,MELB_URBAN
232662,80,1,ROAD,S,I,MELB_URBAN
138251,70,1,PARADE,SW,I,MELB_URBAN
147678,60,1,ROAD,NE,I,MELB_URBAN
208073,100,1,HIGHWAY,NE,I,RURAL_VICTORIA
207867,100,5,ROAD,W,I,RURAL_VICTORIA
154526,50,1,STREET,SE,I,SMALL_CITIES
282190,50,1,STREET,SE,I,SMALL_CITIES
138330,50,2,STREET,W,I,LARGE_PROVINCIAL_CITIES
144878,50,2,STREET,W,I,LARGE_PROVINCIAL_CITIES
164250,50,3,STREET,N,I,LARGE_PROVINCIAL_CITIES
237148,50,1,STREET,W,I,LARGE_PROVINCIAL_CITIES
164321,50,1,STREET,N,I,LARGE_PROVINCIAL_CITIES
185475,100,1,ROAD,W,I,RURAL_VICTORIA
283447,100,1,ROAD,W,I,RURAL_VICTORIA
102208,50,1,ROAD,N,I,TOWNS
116658,50,1,ROAD,N,I,TOWNS
207580,60,3,STREET,W,I,SMALL_CITIES
209671,60,3,STREET,W,I,SMALL_CITIES
150001,60,1,HIGHWAY,S,I,TOWNS
191209,50,3,CRESCENT,N,I,TOWNS
201760,50,3,CRESCENT,N,I,TOWNS
187931,60,1,STREET,N,I,SMALL_CITIES
104122,60,2,AVENUE,E,I,SMALL_CITIES
160129,100,1,ROAD,W,I,RURAL_VICTORIA
162567,40,1,ROAD,SW,I,LARGE_PROVINCIAL_CITIES
221302,40,1,ROAD,SW,I,LARGE_PROVINCIAL_CITIES
215759,60,1,STREET,SE,I,LARGE_PROVINCIAL_CITIES
231283,60,1,STREET,SE,I,LARGE_PROVINCIAL_CITIES
212867,60,1,ROAD,N,I,LARGE_PROVINCIAL_CITIES
226219,60,1,ROAD,N,I,LARGE_PROVINCIAL_CITIES
233204,50,1,STREET,SW,I,LARGE_PROVINCIAL_CITIES
136185,100,1,ROAD,N,I,RURAL_VICTORIA
195641,60,1,STREET,S,I,SMALL_CITIES
202578,60,1,STREET,S,I,SMALL_CITIES
158288,60,2,STREET,S,I,SMALL_CITIES
180313,50,3,GROVE,N,I,LARGE_PROVINCIAL_CITIES
168823,50,1,STREET,NW,I,LARGE_PROVINCIAL_CITIES
236522,60,1,STREET,S,I,SMALL_CITIES
231860,80,2,ROAD,SE,I,RURAL_VICTORIA
281813,50,1,ROAD,S,I,MELB_URBAN
193295,60,1,STREET,SW,I,MELB_URBAN
236432,50,1,ROAD,W,I,MELB_URBAN
236515,50,1,STREET,N,I,MELB_URBAN
109294,50,1,STREET,SW,I,MELB_URBAN
135313,50,1,STREET,SW,I,MELB_URBAN
165472,50,1,DRIVE,N,I,MELB_URBAN
196827,60,1,ROAD,N,I,MELB_URBAN
126091,50,1,ROAD,W,I,MELB_URBAN
129768,50,1,ROAD,W,I,MELB_URBAN
227914,50,1,ROAD,W,I,MELB_URBAN
185793,50,1,ROAD,N,I,MELB_URBAN
157778,50,1,STREET,S,I,MELB_URBAN
218306,50,1,STREET,S,I,MELB_URBAN
230537,50,3,STREET,W,I,SMALL_CITIES
100803,100,1,HIGHWAY,SW,I,RURAL_VICTORIA
112643,60,6,STREET,W,I,MELB_URBAN
214219,40,1,DRIVE,NE,I,MELB_URBAN
233689,40,1,DRIVE,NE,I,MELB_URBAN
143629,80,2,ROAD,E,I,LARGE_PROVINCIAL_CITIES
166507,50,3,STREET,NE,I,SMALL_CITIES
150842,40,1,STREET,N,I,MELB_URBAN
176726,40,1,STREET,N,I,MELB_URBAN
195832,100,1,ROAD,E,I,RURAL_VICTORIA
152884,50,3,STREET,SW,I,SMALL_TOWNS
213434,50,3,STREET,SW,I,SMALL_TOWNS
119713,60,3,ROAD,SW,I,TOWNS
200496,80,5,ROAD,W,I,SMALL_TOWNS
140238,50,3,CRESCENT,N,I,LARGE_PROVINCIAL_CITIES
282265,50,3,CRESCENT,N,I,LARGE_PROVINCIAL_CITIES
172990,100,1,ROAD,N,I,RURAL_VICTORIA
231991,100,1,ROAD,N,I,RURAL_VICTORIA
185236,60,1,ROAD,W,I,MELB_URBAN
143459,60,1,STREET,S,I,MELB_URBAN
107318,60,3,CRESCENT,S,I,SMALL_CITIES
204367,50,1,STREET,S,I,MELB_URBAN
284535,50,1,STREET,S,I,MELB_URBAN
195073,50,1,CRESCENT,W,I,MELB_URBAN
204833,50,1,CRESCENT,W,I,MELB_URBAN
213975,100,1,TRACK,N,I,RURAL_VICTORIA
214719,100,1,TRACK,N,I,RURAL_VICTORIA
118430,50,1,STREET,N,I,MELB_URBAN
128340,60,1,ROAD,N,I,SMALL_CITIES
186168,60,1,ROAD,N,I,SMALL_CITIES
208880,60,1,ROAD,N,I,SMALL_CITIES
124294,80,1,AVENUE,S,I,RURAL_VICTORIA
193191,80,1,AVENUE,S,I,RURAL_VICTORIA
203865,50,2,STREET,N,I,MELB_URBAN
203866,50,2,STREET,N,I,MELB_URBAN
141421,80,1,ROAD,N,I,RURAL_VICTORIA
141422,80,1,ROAD,N,I,RURAL_VICTORIA
183928,100,5,ROAD,W,I,RURAL_VICTORIA
187892,60,1,ROAD,NE,I,RURAL_VICTORIA
201129,60,1,ROAD,NE,I,RURAL_VICTORIA
117622,50,1,BOULEVARD,SW,I,SMALL_CITIES
211366,50,1,BOULEVARD,SW,I,SMALL_CITIES
216363,70,1,STREET,W,I,MELB_URBAN
147000,90,1,ROAD,E,I,RURAL_VICTORIA
166639,50,1,ROAD,W,I,MELB_URBAN
104197,100,1,ROAD,W,I,RURAL_VICTORIA
173194,100,1,ROAD,W,I,RURAL_VICTORIA
127095,50,1,DRIVE,SW,I,MELB_URBAN
273667,50,1,DRIVE,SW,I,MELB_URBAN
141549,50,1,STREET,W,I,MELB_URBAN
177230,50,1,STREET,W,I,MELB_URBAN
187503,50,1,ROAD,N,I,MELB_URBAN
216308,50,1,ROAD,N,I,MELB_URBAN
177917,80,1,HIGHWAY,W,I,MELB_URBAN
173772,60,1,CRESCENT,E,I,MELB_URBAN
187426,100,1,ROAD,NE,I,RURAL_VICTORIA
189655,100,1,ROAD,NE,I,RURAL_VICTORIA
188372,60,1,ROAD,W,I,MELB_URBAN
210773,50,1,STREET,E,I,SMALL_CITIES
219776,50,1,STREET,E,I,SMALL_CITIES
183781,60,1,STREET,S,I,SMALL_CITIES
208229,60,1,STREET,W,I,MELB_URBAN
211010,60,6,ROAD,W,I,MELB_URBAN
277020,60,6,ROAD,W,I,MELB_URBAN
179757,50,3,CRESCENT,SW,I,MELB_URBAN
204997,50,3,CRESCENT,SW,I,MELB_URBAN
221365,100,1,ROAD,N,I,RURAL_VICTORIA
273147,100,1,ROAD,N,I,RURAL_VICTORIA
219199,80,1,STREET,E,I,MELB_URBAN
151261,50,3,STREET,W,I,MELB_URBAN
173850,50,3,STREET,W,I,MELB_URBAN
158518,50,1,STREET,N,I,MELB_URBAN
225155,50,1,STREET,N,I,MELB_URBAN
120619,50,1,ROAD,W,I,MELB_URBAN
167460,50,1,ROAD,W,I,MELB_URBAN
170031,70,1,STREET,S,I,TOWNS
125043,50,1,STREET,W,I,MELB_URBAN
233343,50,1,STREET,W,I,MELB_URBAN
254791,50,1,STREET,W,I,MELB_URBAN
275019,50,1,ROAD,S,I,RURAL_VICTORIA
160951,50,1,AVENUE,W,I,SMALL_CITIES
193643,50,1,AVENUE,W,I,SMALL_CITIES
221816,60,2,HIGHWAY,N,I,MELB_URBAN
187225,80,1,ROAD,NW,I,RURAL_VICTORIA
190227,80,1,ROAD,NW,I,RURAL_VICTORIA
178032,60,1,ROAD,W,I,MELB_URBAN
118645,100,1,HIGHWAY,W,I,RURAL_VICTORIA
197518,40,1,STREET,NW,I,SMALL_CITIES
280196,40,1,STREET,NW,I,SMALL_CITIES
164338,50,3,DRIVE,NE,I,MELB_URBAN
175830,60,1,STREET,N,I,MELB_URBAN
100527,60,1,ROAD,W,I,MELB_URBAN
214928,100,1,ROAD,N,I,TOWNS
216087,60,3,DRIVE,NE,I,SMALL_CITIES
121909,50,1,ROAD,W,I,MELB_URBAN
195775,100,1,ROAD,N,I,RURAL_VICTORIA
229596,100,1,ROAD,N,I,RURAL_VICTORIA
146058,50,5,STREET,N,I,SMALL_CITIES
176858,50,5,STREET,N,I,SMALL_CITIES
232991,50,5,STREET,N,I,SMALL_CITIES
284460,60,1,STREET,W,I,MELB_URBAN
105559,60,1,AVENUE,W,I,MELB_URBAN
179609,999,1,ROAD,E,I,RURAL_VICTORIA
275708,999,1,ROAD,E,I,RURAL_VICTORIA
128269,50,1,STREET,N,I,MELB_URBAN
138665,60,1,COURT,W,I,MELB_URBAN
154460,50,1,STREET,S,I,MELB_URBAN
151287,60,1,AVENUE,NE,I,SMALL_CITIES
276229,100,5,ROAD,NW,I,RURAL_VICTORIA
105785,80,1,ROAD,SW,I,SMALL_CITIES
200053,60,1,ROAD,NW,I,MELB_URBAN
103590,60,3,STREET,SW,I,MELB_URBAN
208177,60,1,ROAD,W,I,MELB_URBAN
100901,50,1,PLACE,NW,I,MELB_URBAN
212278,60,3,ROAD,S,I,LARGE_PROVINCIAL_CITIES
148194,100,1,HIGHWAY,W,I,RURAL_VICTORIA
168852,50,1,LANE,S,N,LARGE_PROVINCIAL_CITIES
219615,100,1,LANE,N,N,RURAL_VICTORIA
5146,100,1,ROAD,N,N,RURAL_VICTORIA
196728,888,1,TRACK,NE,N,RURAL_VICTORIA
284765,100,1,ROAD,E,N,RURAL_VICTORIA
140212,999,1,ROAD,SW,N,RURAL_VICTORIA
170824,50,1,STREET,S,N,MELB_URBAN
196880,50,1,CRESCENT,E,N,SMALL_CITIES
226293,40,1,STREET,N,N,RURAL_VICTORIA
4029,80,2,ROAD,W,N,RURAL_VICTORIA
190607,100,1,ROAD,S,N,RURAL_VICTORIA
105341,50,3,COURT,E,N,MELB_URBAN
193657,100,1,ROAD,SW,N,RURAL_VICTORIA
176887,80,5,ROAD,S,N,RURAL_VICTORIA
186551,50,5,STREET,W,N,MELB_URBAN
133821,50,4,COURT,W,N,MELB_URBAN
198526,50,1,AVENUE,W,N,MELB_URBAN
163570,100,1,ROAD,W,N,RURAL_VICTORIA
186745,999,1,TRACK,W,N,RURAL_VICTORIA
125356,50,1,COURT,N,N,MELB_URBAN
213721,50,1,DRIVE,N,N,MELB_URBAN
187900,888,1,ROAD,NW,N,RURAL_VICTORIA
210442,50,5,STREET,SW,N,MELB_URBAN
143972,50,1,CRESCENT,SE,N,MELB_URBAN
151360,50,1,ROAD,NW,N,MELB_URBAN
219677,100,1,TRACK,N,N,RURAL_VICTORIA
5908,80,5,ROAD,S,N,RURAL_VICTORIA
227534,888,1,ROAD,N,N,RURAL_VICTORIA
205642,50,1,ROAD,N,I,MELB_URBAN
153199,100,2,ROAD,NW,N,RURAL_VICTORIA
187428,100,5,ROAD,E,N,RURAL_VICTORIA
117505,999,1,WAY,N,N,MELB_URBAN
112701,50,1,DRIVE,W,N,MELB_URBAN
209524,999,2,AVENUE,S,N,RURAL_VICTORIA
156637,60,1,AVENUE,NE,N,RURAL_VICTORIA
229176,60,1,ROAD,N,N,MELB_URBAN
142947,50,3,STREET,N,N,MELB_URBAN
280606,50,1,STREET,W,N,LARGE_PROVINCIAL_CITIES
118102,60,3,STREET,S,N,TOWNS
234990,50,1,STREET,N,N,SMALL_CITIES
121818,50,3,STREET,W,N,MELB_URBAN
230463,50,1,CRESCENT,SW,N,TOWNS
280191,100,1,LANE,S,N,RURAL_VICTORIA
203582,50,1,DRIVE,N,N,MELB_URBAN
148007,50,2,STREET,E,N,MELB_URBAN
188689,70,5,ROAD,W,N,MELB_URBAN
157131,50,3,CRESCENT,W,N,MELB_URBAN
199782,100,1,ROAD,NE,N,RURAL_VICTORIA
177061,50,1,STREET,S,N,MELB_URBAN
214765,50,2,ROAD,W,N,SMALL_CITIES
212513,50,4,STREET,W,N,LARGE_PROVINCIAL_CITIES
