Route_No,SPEED_ZONE,Light_Condition,ROAD_TYPE,DIRECTION_LOCATION,NODE_TYPE,Deg_Urban_Name
235155,100,1,ROAD,S,I,RURAL_VICTORIA
2540,70,2,AVENUE,W,I,SMALL_CITIES
121414,70,2,AVENUE,W,I,SMALL_CITIES
5906,100,1,WAY,N,I,RURAL_VICTORIA
5912,100,1,WAY,N,I,RURAL_VICTORIA
5591,100,1,ROAD,N,N,RURAL_VICTORIA
179755,100,2,ROAD,E,N,RURAL_VICTORIA
118056,50,1,STREET,NW,I,SMALL_CITIES
218242,50,1,STREET,NW,I,SMALL_CITIES
5195,60,2,STREET,W,I,TOWNS
140403,60,2,STREET,W,I,TOWNS
5327,100,1,ROAD,S,I,RURAL_VICTORIA
190443,100,1,ROAD,S,I,RURAL_VICTORIA
5497,75,3,ROAD,SE,I,LARGE_PROVINCIAL_CITIES
2650,110,1,HIGHWAY,E,I,RURAL_VICTORIA
124971,110,1,HIGHWAY,E,I,RURAL_VICTORIA
236657,110,1,HIGHWAY,E,I,RURAL_VICTORIA
121560,60,1,CRESCENT,N,I,LARGE_PROVINCIAL_CITIES
176847,60,1,CRESCENT,N,I,LARGE_PROVINCIAL_CITIES
166799,80,1,STREET,N,I,SMALL_CITIES
2720,80,1,HIGHWAY,S,I,MELB_URBAN
197692,80,1,HIGHWAY,S,I,MELB_URBAN
2820,100,3,RAMP,E,N,MELB_URBAN
2880,100,3,ROAD,W,N,MELB_URBAN
154059,100,1,STREET,N,N,MELB_URBAN
158345,100,1,ROAD,S,I,RURAL_VICTORIA
187094,100,1,ROAD,S,I,RURAL_VICTORIA
284281,100,1,ROAD,S,I,RURAL_VICTORIA
113653,999,1,ROAD,NE,N,RURAL_VICTORIA
191537,100,1,ROAD,S,N,RURAL_VICTORIA
121656,100,1,ROAD,W,N,RURAL_VICTORIA
157066,100,1,LANE,E,N,RURAL_VICTORIA
173673,100,5,WAY,SE,N,RURAL_VICTORIA
181985,60,2,STREET,SW,I,SMALL_CITIES
226704,60,2,STREET,SW,I,SMALL_CITIES
129277,50,1,LANE,NW,I,TOWNS
157397,50,1,LANE,NW,I,TOWNS
163225,50,1,LANE,NW,I,TOWNS
165506,50,2,STREET,E,N,SMALL_CITIES
137597,100,1,ROAD,N,I,RURAL_VICTORIA
186890,100,1,ROAD,N,I,RURAL_VICTORIA
2840,100,5,FREEWAY,N,N,MELB_URBAN
130896,60,2,ROAD,N,N,MELB_URBAN
5571,60,1,ROAD,S,I,MELB_URBAN
215677,60,1,ROAD,S,I,MELB_URBAN
194676,100,2,ROAD,N,N,RURAL_VICTORIA
233022,50,3,UNKNOWN,W,I,MELB_URBAN
283988,50,3,UNKNOWN,W,I,MELB_URBAN
2300,100,1,HIGHWAY,E,N,RURAL_VICTORIA
150161,110,1,ROAD,SW,N,RURAL_VICTORIA
5698,100,1,ROAD,E,N,RURAL_VICTORIA
146924,100,1,TRACK,W,N,RURAL_VICTORIA
119160,100,5,ROAD,S,N,RURAL_VICTORIA
223809,80,5,ROAD,E,N,RURAL_VICTORIA
153782,80,1,HIGHWAY,NW,I,MELB_URBAN
5065,60,1,STREET,S,I,MELB_URBAN
274420,60,1,STREET,S,I,MELB_URBAN
138037,60,2,WAY,NW,I,MELB_URBAN
144375,50,1,STREET,N,I,MELBOURNE_CBD
173961,50,1,STREET,N,I,MELBOURNE_CBD
175216,60,1,STREET,W,I,MELB_URBAN
278531,60,1,STREET,W,I,MELB_URBAN
209697,50,1,STREET,NE,I,MELBOURNE_CBD
147263,50,1,STREET,W,I,MELBOURNE_CBD
280630,50,1,STREET,W,I,MELBOURNE_CBD
280631,50,1,STREET,W,I,MELBOURNE_CBD
141967,50,3,STREET,N,I,MELBOURNE_CBD
178785,50,3,STREET,N,I,MELBOURNE_CBD
224588,60,3,ROAD,NE,I,MELB_URBAN
229630,40,1,STREET,E,I,MELBOURNE_CBD
2040,80,1,HIGHWAY,E,I,MELB_URBAN
5009,80,1,HIGHWAY,E,I,MELB_URBAN
2850,50,1,HIGHWAY,SW,I,MELB_URBAN
141653,50,1,HIGHWAY,SW,I,MELB_URBAN
253957,50,1,HIGHWAY,SW,I,MELB_URBAN
169587,80,1,ROAD,N,I,MELB_URBAN
246963,80,1,ROAD,N,I,MELB_URBAN
5005,60,1,ROAD,W,I,MELB_URBAN
129289,60,1,ROAD,W,I,MELB_URBAN
122760,40,1,ROAD,W,I,MELB_URBAN
277142,60,1,ROAD,S,I,MELB_URBAN
220585,60,1,STREET,E,I,MELB_URBAN
274359,60,1,STREET,E,I,MELB_URBAN
5216,70,2,STREET,N,I,MELB_URBAN
5762,70,2,STREET,N,I,MELB_URBAN
5192,60,3,ROAD,W,I,MELB_URBAN
5876,60,3,ROAD,W,I,MELB_URBAN
154341,60,3,ROAD,W,I,MELB_URBAN
5950,40,1,STREET,S,I,MELB_URBAN
108666,40,1,STREET,S,I,MELB_URBAN
5520,60,1,ROAD,E,I,MELB_URBAN
138776,60,1,ROAD,E,I,MELB_URBAN
5084,60,1,ROAD,E,I,MELB_URBAN
126961,60,1,ROAD,E,I,MELB_URBAN
165516,60,3,ROAD,W,I,MELB_URBAN
185122,60,1,PARADE,NW,I,MELB_URBAN
101802,60,3,ROAD,E,I,MELB_URBAN
165564,60,1,ROAD,E,I,MELB_URBAN
173442,60,1,ROAD,E,I,MELB_URBAN
2070,70,2,ROAD,S,I,MELB_URBAN
208257,70,2,ROAD,S,I,MELB_URBAN
5899,60,2,ROAD,S,I,MELB_URBAN
237030,60,2,ROAD,S,I,MELB_URBAN
5849,60,1,ROAD,W,I,MELB_URBAN
192020,60,1,ROAD,W,I,MELB_URBAN
5296,60,1,ROAD,W,I,MELB_URBAN
169532,60,1,ROAD,W,I,MELB_URBAN
249382,60,1,ROAD,W,I,MELB_URBAN
5848,60,1,ROAD,W,I,MELB_URBAN
5844,60,1,ROAD,S,I,MELB_URBAN
104378,60,1,ROAD,S,I,MELB_URBAN
211553,60,1,ROAD,S,I,MELB_URBAN
132345,60,1,ROAD,SW,I,MELB_URBAN
208842,80,1,HIGHWAY,W,I,MELB_URBAN
